furniture table 1990, cosine similarity=0.10

furniture shelf 1810, cosine similarity=0.20
furniture shelf 1990, cosine similarity=0.18

furniture elbow 1810, cosine similarity=0.02
furniture elbow 1990, cosine similarity=-0.07

seasoning pepper 1810, cosine similarity=0.00
seasoning pepper 1990, cosine similarity=0.44

seasoning ketchup 1810, cosine similarity=0.00
seasoning ketchup 1990, cosine similarity=0.26

seasoning peanut 1810, cosine similarity=0.00
seasoning peanut 1990, cosine similarity=0.30

furniture chair 1810, cosine similarity=0.09
furniture chair 1990, cosine similarity=0.15

furniture stool 1810, cosine similarity=0.09
furniture stool 1990, cosine similarity=0.05

furniture witch 1810, cosine similarity=-0.04
furniture witch 1990, cosine similarity=0.04

fruit banana 1810, cosine similarity=0.00
fruit banana 1990, cosine similarity=0.35

fruit melon 1810, cosine similarity=0.00
fruit melon 1990, cosine similarity=0.23

fruit wagon 1810, cosine similarity=0.00
fruit wagon 1990, cosine similarity=0.06

clothing shirt 1810, cosine similarity=0.29
clothing shirt 1990, cosine similarity=0.23

clothing coat 1810, cosine similarity=0.19
clothing coat 1990, cosine similarity=0.26

clothing fish 1810, cosine similarity=0.19
clothing fish 1990, cosine similarity=0.13

rodent rat 1810, cosine similarity=0.00
rodent rat 1990, cosine similarity=0.28

rodent gopher 1810, cosine similarity=0.00
rodent gopher 1990, cosine similarity=0.14

rodent ribs 1810, cosine similarity=0.00
rodent ribs 1990, cosine similarity=0.03

house kitchen 1810, cosine similarity=0.32
house kitchen 1990, cosine similarity=0.31

house office 1810, cosine similarity=0.03
house office 1990, cosine similarity=0.23

house monkey 1810, cosine similarity=-0.09
house monkey 1990, cosine similarity=0.05

animal lion 1810, cosine similarity=0.21
animal lion 1990, cosine similarity=0.17

animal zebra 1810, cosine similarity=0.00
animal zebra 1990, cosine similarity=0.06

animal acid 1810, cosine similarity=0.19
animal acid 1990, cosine similarity=0.07

vegetable carrot 1810, cosine similarity=0.00
vegetable carrot 1990, cosine similarity=0.33

vegetable beet 1810, cosine similarity=0.00
vegetable beet 1990, cosine similarity=0.27

vegetable rest 1810, cosine similarity=0.08
vegetable rest 1990, cosine similarity=0.03

season spring 1810, cosine similarity=0.42
season spring 1990, cosine similarity=0.38

season cold 1810, cosine similarity=0.28
season cold 1990, cosine similarity=0.23

season stump 1810, cosine similarity=0.00
season stump 1990, cosine similarity=0.05

tool shovel 1810, cosine similarity=0.23
tool shovel 1990, cosine similarity=0.13

tool spade 1810, cosine similarity=0.24
tool spade 1990, cosine similarity=0.10

tool lunch 1810, cosine similarity=0.00
tool lunch 1990, cosine similarity=-0.05

relative uncle 1810, cosine similarity=-0.03
relative uncle 1990, cosine similarity=-0.05

relative son 1810, cosine similarity=0.02
relative son 1990, cosine similarity=-0.10

relative slice 1810, cosine similarity=0.00
relative slice 1990, cosine similarity=0.02

animal cow 1810, cosine similarity=0.29
animal cow 1990, cosine similarity=0.36

animal ox 1810, cosine similarity=0.26
animal ox 1990, cosine similarity=0.28

animal ivy 1810, cosine similarity=0.08
animal ivy 1990, cosine similarity=0.07

body leg 1810, cosine similarity=0.19
body leg 1990, cosine similarity=0.25

body chest 1810, cosine similarity=0.23
body chest 1990, cosine similarity=0.17

body gyms 1810, cosine similarity=0.00
body gyms 1990, cosine similarity=0.00

